date,price
09-12-2018,3425
10-12-2018,3551
11-12-2018,3434
12-12-2018,3379
13-12-2018,3438
14-12-2018,3295
15-12-2018,3217
16-12-2018,3222
17-12-2018,3217
18-12-2018,3506
19-12-2018,3656
20-12-2018,3688
21-12-2018,4065
22-12-2018,3846
23-12-2018,3961
24-12-2018,3942
25-12-2018,4022
26-12-2018,3759
27-12-2018,3782
28-12-2018,3588
29-12-2018,3854
30-12-2018,3778
31-12-2018,3810
01-01-2019,3693
02-01-2019,3794
03-01-2019,3872
04-01-2019,3777
05-01-2019,3815
06-01-2019,3787
07-01-2019,4014
08-01-2019,3990
09-01-2019,3974
10-01-2019,3982
11-01-2019,3624
12-01-2019,3633
13-01-2019,3598
14-01-2019,3496
